GS Name,Start,Stop,Duration [sec],Min L.M. [dB],Max L.M. [dB],Data [MB]
IT-01,2026-01-01 12:00:00.034,2026-01-01 12:01:52.034,100.0,4.593144346777528,8.941952076380609,0.96
IT-01,2026-01-01 13:30:22.034,2026-01-01 13:36:04.034,332.0,4.544482252309898,7.739468729222928,3.1872
AU-01,2026-01-01 15:50:52.034,2026-01-01 15:56:52.034,350.0,4.402097267234076,7.986322609996655,3.36
SK-01,2026-01-01 17:07:38.034,2026-01-01 17:15:16.034,448.0,4.433473949633715,12.729559841127674,4.3008
AU-01,2026-01-01 17:25:32.034,2026-01-01 17:31:34.034,352.0,4.407998198045725,7.907351056398177,3.3792
CHL-01,2026-01-01 17:52:06.034,2026-01-01 17:58:00.034,344.0,4.576428477110547,7.9187528122144,3.3024
SK-01,2026-01-01 18:44:16.034,2026-01-01 18:47:26.034,180.0,4.428615810748646,5.276443349971423,1.728
CHL-01,2026-01-01 19:26:20.034,2026-01-01 19:34:00.034,450.0,4.597490734205884,13.495602076048904,4.32
USA-01,2026-01-01 19:49:54.034,2026-01-01 19:57:22.034,438.0,4.64259221310423,12.800243486692402,4.2048
UAE-01,2026-01-01 21:58:30.034,2026-01-01 22:05:34.034,414.0,4.225840247712249,10.242648297115018,3.9744
UAE-01,2026-01-01 23:34:50.034,2026-01-01 23:38:12.034,192.0,4.218627264503134,5.218265015866599,1.8432
IT-01,2026-01-02 01:04:24.034,2026-01-02 01:11:58.034,444.0,4.477371679264756,12.430901241605902,4.2624
IT-01,2026-01-02 02:40:02.034,2026-01-02 02:45:24.034,312.0,4.469306714054689,7.2296635965534435,2.9952
SK-01,2026-01-02 03:51:44.034,2026-01-02 03:57:16.034,322.0,4.566007130824907,7.639091932747071,3.0912
CHL-01,2026-01-02 04:43:26.034,2026-01-02 04:50:18.034,402.0,4.533844496222194,9.929449325156092,3.8592
AU-01,2026-01-02 05:07:52.034,2026-01-02 05:15:46.034,464.0,4.499628484890529,15.470101390764292,4.4544
SK-01,2026-01-02 05:25:48.034,2026-01-02 05:32:28.034,390.0,4.552371258177338,9.609142185295944,3.744
